Basic_Sciences,Software_Practice,Algorithm_Theory,Systems,Hardware,Social_Cultural,Language_Comm,Math_Calc,Cluster,Profile_Name,Student_ID
0.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.0,0.11713834529622262,2,📉 Low Academic Profile (Data Missing or At Risk),Ã–ÄŸrenci SÄ±nÄ±f Listesi
0.0,0.0,0.027777777777777776,0.02127659574468085,0.015384615384615385,0.5142857142857142,0.0,0.14019443926525924,2,📉 Low Academic Profile (Data Missing or At Risk),Ã–ÄŸrenci SÄ±nÄ±f Listesi (1)
0.7812500000000001,0.8260524222531097,0.8498647241649793,0.8161323887927072,0.6468244228889392,0.44705008488964354,0.7608695652173914,0.7408950782638489,5,🤖 Versatile Engineer (Strong: Software & Hardware),Ã–ÄŸrenci SÄ±nÄ±f Listesi (10)
0.8145454545454548,0.5805127401909168,0.611130046662609,0.6530528811971148,0.6785117962537319,0.17055394481272768,0.4060656818189591,0.4776223804107673,1,🚀 Algorithmic Programmer (Strong: Algorithms & Coding),Ã–ÄŸrenci SÄ±nÄ±f Listesi (100)
0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.06211458683718358,2,📉 Low Academic Profile (Data Missing or At Risk),Ã–ÄŸrenci SÄ±nÄ±f Listesi (11)
0.8380681818181819,0.8617264082457697,0.8470431082659682,0.870463079334047,0.8361876832844575,0.6931182795698925,0.7577777777777778,0.7892461926595582,0,🤖 Versatile Engineer (Strong: Software & Hardware),Ã–ÄŸrenci SÄ±nÄ±f Listesi (12)
0.6835227272727274,0.7138926512261784,0.6147179353694242,0.7363429905281964,0.7821039175877886,0.942438206954336,0.7466666666666667,0.7605283598049815,7,🤖 Versatile Engineer (Strong: Software & Hardware),Ã–ÄŸrenci SÄ±nÄ±f Listesi (13)
0.8071296296296298,0.668452873475602,0.6428417724451378,0.6097654810413231,0.6243717681726096,0.810339637106156,0.715936329699596,0.637930611842105,7,🤖 Versatile Engineer (Strong: Software & Hardware),Ã–ÄŸrenci SÄ±nÄ±f Listesi (14)
0.7357954545454546,0.6093915188322779,0.5933833674721517,0.6985770609318996,0.5932822016692985,0.9052843803056028,0.7043478260869567,0.5758883696351056,7,🤖 Versatile Engineer (Strong: Software & Hardware),Ã–ÄŸrenci SÄ±nÄ±f Listesi (15)
0.9037037037037039,0.8933496044198449,0.806698101808795,0.8125275565976351,0.7906682533611006,0.5987815418266662,0.7521739130434784,0.5941525482797744,7,🤖 Versatile Engineer (Strong: Software & Hardware),Ã–ÄŸrenci SÄ±nÄ±f Listesi (16)
0.6670454545454547,0.6158258385385461,0.6660938345066868,0.6518057086887513,0.6131298964398545,0.5957202404099501,0.35144204955023267,0.6640390226890205,9,🤖 Versatile Engineer (Strong: Software & Hardware),Ã–ÄŸrenci SÄ±nÄ±f Listesi (17)
0.0,0.0,0.0,0.0,0.0,0.4714285714285714,0.0,0.1583087568497285,2,📉 Low Academic Profile (Data Missing or At Risk),Ã–ÄŸrenci SÄ±nÄ±f Listesi (18)
