Cluster,Basic_Sciences,Software_Practice,Algorithm_Theory,Systems,Hardware,Social_Cultural,Language_Comm,Math_Calc
0,0.14134928168245853,0.2428876699285153,0.28294588882912686,0.24704567098373098,0.2870428400971936,0.15503852448987054,0.09931350100287961,0.32028878120243653
1,1.082556788102886,1.0537142032173175,1.0570076486297986,1.0484439624030757,1.045080052028418,0.15964288756917888,1.0856932104157537,0.5421663363728564
2,0.2976081897411331,0.330892513750902,0.3318291128371582,0.3396998952111463,0.38870746994974004,0.26798770461849974,0.2690610440585801,0.3171729551892908
3,0.04510381705957189,0.08291826891856935,0.10273954829736232,0.0905275939150596,0.09691511333766967,0.048900366271291684,0.013795039399665532,0.14369686531388282
4,0.2682301551279551,0.42896940636831316,0.487715018069139,0.4136589715575192,0.4164062757988526,0.18997030134724635,0.2136453817873819,0.46913733128928725
5,1.0366017816902873,0.41690153714406364,0.2776291109693795,0.4428870630730064,0.554176438410596,0.22510783521714506,0.9106270922274876,0.3024108946232388
6,0.1392274571334302,0.2331249923818508,0.2262466230429262,0.2490379686098081,0.27431141970942385,0.26964122388419265,0.1695660019668912,0.24447429872176096
7,1.0369203377049538,0.8234874697436995,0.366779094629582,0.8490725792198278,0.844702601339103,0.1919272732360332,1.0856932104157537,0.48337137273090813
8,0.23139937609222438,0.39001772665622403,0.4015727802234359,0.38245868380970305,0.44270767927891885,0.19784213270598494,0.2429386880102148,0.3778027411798136
9,0.12163080860987241,0.2389250695364986,0.23983062673540667,0.2569087336305721,0.30199597929919975,0.09962265158625783,0.12999280970491522,0.20074598346129124
10,0.3022094117138686,0.4113861222383317,0.4953992404430194,0.4060147554880934,0.3912816690754426,0.3887059805906382,0.23486692972691514,0.5585954030104509
11,0.24284057613441745,0.36792302527886933,0.40634743465745915,0.36970535744733135,0.39729657453981904,0.3692939163549298,0.23996494163713855,0.4247396341941504
12,0.08898157986122013,0.16554268253644078,0.1796128367999733,0.1814672653484405,0.21200928265063512,0.07323045834823216,0.06336375571860087,0.17997902983205172
13,0.9952847441686614,1.0477994054246569,0.9697629192022239,0.996502172346527,0.9928761534066958,0.19339884939940444,1.0856932104157537,0.3556369050674627
14,0.0441117078828559,0.07711806137591914,0.06566936725297323,0.09401547484779771,0.11070771593784057,0.06656730137624223,0.04244305371565171,0.05596926792912216
15,0.09418617247798222,0.19495427782379937,0.20299103122716855,0.23171246503487342,0.23158011437848114,0.6177203305550871,0.10915267309132559,0.1530385493196127
16,0.15196273013841832,0.1869283041463211,0.24595652795910838,0.18608997924264514,0.2227585946141699,0.06763006271114569,0.043830309360772146,0.3528724004955157
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.10037136423677917,0.10253187974608302,0.09739056721021544,0.13450831280392217,0.1736376982902843,0.16902045408894817,0.10022349856261703,0.10706654946086591
19,0.22255983807866098,0.24415645607598668,0.19169711725830596,0.2588403157435575,0.37348463057000925,0.17034452857296623,0.23441417505248519,0.1494228219273993
