Cluster,Basic_Sciences,Software_Practice,Algorithm_Theory,Systems,Hardware,Social_Cultural,Language_Comm,Math_Calc
0,0.1759966343479611,0.16535369008824274,0.1860190567745954,0.15174432709845964,0.19711800761924148,0.1797837885763448,0.18250185182801182,0.13412105655520923
1,0.0,0.0,0.0,0.0,0.0,0.27626556120147716,0.0,0.284284663532261
2,0.4033910276069794,0.2000305072923888,0.1880324957130346,0.19111388845186417,0.19701956811436172,0.23749801997043374,0.25591033414611464,0.15517899010061031
3,0.12016803497572148,0.12579241061604773,0.11917076808143667,0.11778601713530745,0.15474295525353654,0.12489194938638881,0.09665930358885544,0.1308886348605609
4,0.25653361960855015,0.20832374871867987,0.15908340908152102,0.17877867226128097,0.2633121793339206,0.21352114446038217,0.28251786036326554,0.1656631749957529
5,0.0,0.8227386125866768,0.35559184133959554,1.0210001379847589,0.9989142942375342,0.18322369056001442,0.7275220340108906,0.3678524114945204
6,0.18086681970045304,0.16002600754641172,0.17070902075459515,0.1703407186130318,0.19752012526537965,0.16950627070374835,0.20347039204637984,0.15103881458993185
7,0.0,0.654305080249811,0.3658617862392832,0.6211868022029976,0.6243214338984588,0.3118244948214691,0.0,0.32441037431035585
8,0.2593299435468186,0.205892400305687,0.2073522397439963,0.18262020963364956,0.256675599560395,0.1768388679343169,0.2810736982812517,0.1709381524904321
9,0.17301252225343866,0.167884306138939,0.19253288662235835,0.16790472633130493,0.18056751043256047,0.12725967070411615,0.20856330061329165,0.13375642809066624
10,0.34262766456480054,0.2519091380950954,0.21455538935934443,0.20887962914493996,0.2573849198882753,0.3094351271747352,0.3128862710794472,0.19338127656901027
11,0.2879662073706597,0.2135376629377962,0.2173868179115549,0.2125976464133934,0.2479855929739725,0.20226833073946482,0.32654116667792765,0.13851288534666928
12,0.16167551513855993,0.1389731151146958,0.18116223821462374,0.14782846189064391,0.16217760388479963,0.13526675490519302,0.15124864461229026,0.11333307399257897
13,0.7113092750139423,0.0,0.49855286970483853,0.28988717436139855,0.2913500024859471,0.24617723275379166,0.0,0.44910626665350106
14,0.12129366026730626,0.12513057517221993,0.14232244791570836,0.1330717800314264,0.15705603255161038,0.13025056407783464,0.10101318430217088,0.12290873035099992
15,0.10369969078493779,0.17139625241961665,0.12387602394961594,0.10019357416159191,0.19743415718880242,0.1334593169538933,0.122637882139913,0.1256578367561908
16,0.19666049934647511,0.19529585544904493,0.21816430205186943,0.18138956319534805,0.19474352813972784,0.17612150379702363,0.1504459799050264,0.20305835294833907
17,0.09249937467820835,0.10621374657149629,0.10580003902612956,0.09198383136378774,0.12369109212971185,0.0832196417694473,0.08743598229506433,0.10343541214384966
18,0.2640833178177886,0.11214845149859276,0.1453398478004908,0.12603277460484208,0.1873761103274597,0.20757609392013043,0.16946767736432555,0.14373140472841428
19,0.4350392708630957,0.2029939256935962,0.20109622068481425,0.2248041581352327,0.47774312717852085,0.2025471934996359,0.33044441427527904,0.14873551654535366
