Yıl,Erkek,Kadın
2009.0,4,0
2010.0,1,3
2011.0,113,19
2012.0,115,25
2013.0,123,19
2014.0,118,22
2015.0,97,29
2016.0,154,41
2017.0,103,22
2018.0,99,24
2019.0,89,27
2020.0,89,27
2021.0,33,5
2022.0,5,3
