Yıl,Erkek,Kadın
2009.0,100.0,0.0
2010.0,25.0,75.0
2011.0,85.61,14.39
2012.0,82.14,17.86
2013.0,86.62,13.38
2014.0,84.29,15.71
2015.0,76.98,23.02
2016.0,78.97,21.03
2017.0,82.4,17.6
2018.0,80.49,19.51
2019.0,76.72,23.28
2020.0,76.72,23.28
2021.0,86.84,13.16
2022.0,62.5,37.5
