Cluster,Bilinmiyor,Erkek,Kadın,Toplam
0,0.0,79.53,20.47,127
1,0.0,78.0,22.0,50
2,0.0,85.51,14.49,69
3,1.28,83.33,15.38,78
4,0.0,80.9,19.1,89
5,0.0,53.85,46.15,13
6,0.0,90.91,9.09,66
7,0.0,66.67,33.33,21
8,0.0,80.67,19.33,119
9,0.0,78.3,21.7,106
10,0.0,86.36,13.64,44
11,2.33,93.02,4.65,86
12,0.0,67.19,32.81,128
13,0.0,80.85,19.15,47
14,0.0,75.22,24.78,113
15,0.0,90.0,10.0,10
16,0.0,78.18,21.82,55
17,0.0,87.95,12.05,83
18,0.0,87.32,12.68,71
19,0.0,89.19,10.81,37
