Student_ID,UUU 111,BBF 103,MAT 102,BLG 101,CEN 112E
Öğrenci Sınıf Listesi (100),1.0,2.0,3.0,4.0,-1.0
Öğrenci Sınıf Listesi (100),-1.0,-1.0,-1.0,-1.0,3.0
